Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Year,Citation Count,Semantic Scholar URL,Final Link,Abstract,processed_text,cluster_id,kw1,kw2,kw3
NU,Bahador Bahmani,101566577,Most Cited,A Review on Data-Driven Constitutive Laws for Solids,2024.0,68,https://www.semanticscholar.org/paper/2ab7f97e2a05ef15363a45a6267c342a5e44ef2c,https://doi.org/10.1007/s11831-024-10196-2,"This review article highlights state-of-the-art data-driven techniques to discover, encode, surrogate, or emulate constitutive laws that describe the path-independent and path-dependent response of solids. Our objective is to provide an organized taxonomy to a large spectrum of methodologies developed in the past decades and to discuss the benefits and drawbacks of the various techniques for interpreting and forecasting mechanics behavior across different scales. Distinguishing between machine-learning-based and model-free methods, we further categorize approaches based on their interpretability and on their learning process/type of required data, while discussing the key problems of generalization and trustworthiness. We attempt to provide a road map of how these can be reconciled in a data-availability-aware context. We also touch upon relevant aspects such as data sampling techniques, design of experiment, verification, and validation.","A Review on Data-Driven Constitutive Laws for Solids This review article highlights state-of-the-art data-driven techniques to discover, encode, surrogate, or emulate constitutive laws that describe the path-independent and path-dependent response of solids. Our objective is to provide an organized taxonomy to a large spectrum of methodologies developed in the past decades and to discuss the benefits and drawbacks of the various techniques for interpreting and forecasting mechanics behavior across different scales. Distinguishing between machine-learning-based and model-free methods, we further categorize approaches based on their interpretability and on their learning process/type of required data, while discussing the key problems of generalization and trustworthiness. We attempt to provide a road map of how these can be reconciled in a data-availability-aware context. We also touch upon relevant aspects such as data sampling techniques, design of experiment, verification, and validation.",2,data driven,laws solids,forecasting mechanics
NU,Bahador Bahmani,101566577,Most Cited,Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning,2022.0,66,https://www.semanticscholar.org/paper/64ba788e015b5fb9479a78fe925731e0a289f72e,https://www.nature.com/articles/s41598-022-12845-7.pdf,"For material modeling and discovery, synthetic microstructures play a critical role as digital twins. They provide stochastic samples upon which direct numerical simulations can be conducted to populate material databases. A large ensemble of simulation data on synthetic microstructures may provide supplemental data to inform and refine macroscopic material models, which might not be feasible from physical experiments alone. However, synthesizing realistic microstructures with realistic microstructural attributes is highly challenging. Thus, it is often oversimplified via rough approximations that may yield an inaccurate representation of the physical world. Here, we propose a novel deep learning method that can synthesize realistic three-dimensional microstructures with controlled structural properties using the combination of generative adversarial networks (GAN) and actor-critic (AC) reinforcement learning. The GAN-AC combination enables the generation of microstructures that not only resemble the appearances of real specimens but also yield user-defined physical quantities of interest (QoI). Our validation experiments confirm that the properties of synthetic microstructures generated by the GAN-AC framework are within a 5% error margin with respect to the target values. The scientific contribution of this paper resides in the novel design of the GAN-AC microstructure generator and the mathematical and algorithmic foundations therein. The proposed method will have a broad and substantive impact on the materials community by providing lenses for analyzing structure-property-performance linkages and for implementing the notion of ‘materials-by-design’.","Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning For material modeling and discovery, synthetic microstructures play a critical role as digital twins. They provide stochastic samples upon which direct numerical simulations can be conducted to populate material databases. A large ensemble of simulation data on synthetic microstructures may provide supplemental data to inform and refine macroscopic material models, which might not be feasible from physical experiments alone. However, synthesizing realistic microstructures with realistic microstructural attributes is highly challenging. Thus, it is often oversimplified via rough approximations that may yield an inaccurate representation of the physical world. Here, we propose a novel deep learning method that can synthesize realistic three-dimensional microstructures with controlled structural properties using the combination of generative adversarial networks (GAN) and actor-critic (AC) reinforcement learning. The GAN-AC combination enables the generation of microstructures that not only resemble the appearances of real specimens but also yield user-defined physical quantities of interest (QoI). Our validation experiments confirm that the properties of synthetic microstructures generated by the GAN-AC framework are within a 5% error margin with respect to the target values. The scientific contribution of this paper resides in the novel design of the GAN-AC microstructure generator and the mathematical and algorithmic foundations therein. The proposed method will have a broad and substantive impact on the materials community by providing lenses for analyzing structure-property-performance linkages and for implementing the notion of ‘materials-by-design’.",1,learning gan,material models,microstructures porous
NU,Bahador Bahmani,101566577,Most Cited,Voronoi tessellation based statistical volume element characterization for use in fracture modeling,2018.0,37,https://www.semanticscholar.org/paper/cb7c27fd1e905aef65fa8ed2115a8f992f479783,http://manuscript.elsevier.com/S0045782518301051/pdf/S0045782518301051.pdf,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Voronoi tessellation based statistical volume element characterization for use in fracture modeling ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,voronoi tessellation,fracture modeling,abstract_missing_fallback_to_title
NU,Bahador Bahmani,101566577,Most Cited,Journal of the Mechanics and Physics of Solids,2022.0,34,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Journal of the Mechanics and Physics of Solids ABSTRACT_MISSING_FALLBACK_TO_TITLE,5,solids abstract_missing_fallback_to_title,journal mechanics,physics solids
NU,Bahador Bahmani,101566577,Most Cited,An accelerated hybrid data-driven/model-based approach for poroelasticity problems with multi-fidelity multi-physics data,2020.0,34,https://www.semanticscholar.org/paper/89ff57cac7bbc974618f0d075c4814c84f69f43b,https://www.sciencedirect.com/science/article/am/pii/S004578252100205X,ABSTRACT_MISSING_FALLBACK_TO_TITLE,An accelerated hybrid data-driven/model-based approach for poroelasticity problems with multi-fidelity multi-physics data ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,poroelasticity problems,data abstract_missing_fallback_to_title,accelerated hybrid
NU,Bahador Bahmani,101566577,Most Cited,Data-driven discovery of interpretable causal relations for deep learning material laws with uncertainty propagation,2021.0,29,https://www.semanticscholar.org/paper/be664fd720813f82cee7253ca3a5816c1f8830d5,https://doi.org/10.1007/s10035-021-01137-y,"This paper presents a computational framework that generates ensemble predictive mechanics models with uncertainty quantification (UQ). We first develop a causal discovery algorithm to infer causal relations among time-history data measured during each representative volume element (RVE) simulation through a directed acyclic graph. With multiple plausible sets of causal relationships estimated from multiple RVE simulations, the predictions are propagated in the derived causal graph while using a deep neural network equipped with dropout layers as a Bayesian approximation for UQ. We select two representative numerical examples (traction-separation laws for frictional interfaces, elastoplasticity models for granular assembles) to examine the accuracy and robustness of the proposed causal discovery method for the common material law predictions in civil engineering applications.","Data-driven discovery of interpretable causal relations for deep learning material laws with uncertainty propagation This paper presents a computational framework that generates ensemble predictive mechanics models with uncertainty quantification (UQ). We first develop a causal discovery algorithm to infer causal relations among time-history data measured during each representative volume element (RVE) simulation through a directed acyclic graph. With multiple plausible sets of causal relationships estimated from multiple RVE simulations, the predictions are propagated in the derived causal graph while using a deep neural network equipped with dropout layers as a Bayesian approximation for UQ. We select two representative numerical examples (traction-separation laws for frictional interfaces, elastoplasticity models for granular assembles) to examine the accuracy and robustness of the proposed causal discovery method for the common material law predictions in civil engineering applications.",2,models granular,predictive mechanics,material law
NU,Bahador Bahmani,101566577,Most Cited,Application of an enriched FEM technique in thermo-mechanical contact problems,2018.0,28,https://www.semanticscholar.org/paper/763d3ac1962943f9069d3984f0791445312ba8b6,https://doi.org/10.1007/S00466-018-1555-Z,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Application of an enriched FEM technique in thermo-mechanical contact problems ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,thermo mechanical,contact problems,abstract_missing_fallback_to_title
NU,Bahador Bahmani,101566577,Most Cited,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions,2023.0,23,https://www.semanticscholar.org/paper/61f1e3550ccb6795b7e9ef7e1b1d67a5c8ce3089,https://arxiv.org/pdf/2307.13149,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,interpretable elastoplasticity,regressions abstract_missing_fallback_to_title,neural polynomial
NU,Bahador Bahmani,101566577,Most Cited,Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials,2023.0,22,https://www.semanticscholar.org/paper/2374782ae42dd7fc15dbf8234cc5e0702baf6826,https://arxiv.org/pdf/2310.04286,"We present a machine learning framework capable of consistently inferring mathematical expressions of hyperelastic energy functionals for incompressible materials from sparse experimental data and physical laws. To achieve this goal, we propose a polyconvex neural additive model (PNAM) that enables us to express the hyperelastic model in a learnable feature space while enforcing polyconvexity. An upshot of this feature space obtained via the PNAM is that (1) it is spanned by a set of univariate basis functions that can be re‐parametrized with a more complex mathematical form, and (2) the resultant elasticity model is guaranteed to fulfill the polyconvexity, which ensures that the acoustic tensor remains elliptic for any deformation. To further improve the interpretability, we use genetic programming to convert each univariate basis into a compact mathematical expression. The resultant multi‐variable mathematical models obtained from this proposed framework are not only more interpretable but are also proven to fulfill physical laws. By controlling the compactness of the learned symbolic form, the machine learning‐generated mathematical model also requires fewer arithmetic operations than its deep neural network counterparts during deployment. This latter attribute is crucial for scaling large‐scale simulations where the constitutive responses of every integration point must be updated within each incremental time step. We compare our proposed model discovery framework against other state‐of‐the‐art alternatives to assess the robustness and efficiency of the training algorithms and examine the trade‐off between interpretability, accuracy, and precision of the learned symbolic hyperelastic models obtained from different approaches. Our numerical results suggest that our approach extrapolates well outside the training data regime due to the precise incorporation of physics‐based knowledge.","Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials We present a machine learning framework capable of consistently inferring mathematical expressions of hyperelastic energy functionals for incompressible materials from sparse experimental data and physical laws. To achieve this goal, we propose a polyconvex neural additive model (PNAM) that enables us to express the hyperelastic model in a learnable feature space while enforcing polyconvexity. An upshot of this feature space obtained via the PNAM is that (1) it is spanned by a set of univariate basis functions that can be re‐parametrized with a more complex mathematical form, and (2) the resultant elasticity model is guaranteed to fulfill the polyconvexity, which ensures that the acoustic tensor remains elliptic for any deformation. To further improve the interpretability, we use genetic programming to convert each univariate basis into a compact mathematical expression. The resultant multi‐variable mathematical models obtained from this proposed framework are not only more interpretable but are also proven to fulfill physical laws. By controlling the compactness of the learned symbolic form, the machine learning‐generated mathematical model also requires fewer arithmetic operations than its deep neural network counterparts during deployment. This latter attribute is crucial for scaling large‐scale simulations where the constitutive responses of every integration point must be updated within each incremental time step. We compare our proposed model discovery framework against other state‐of‐the‐art alternatives to assess the robustness and efficiency of the training algorithms and examine the trade‐off between interpretability, accuracy, and precision of the learned symbolic hyperelastic models obtained from different approaches. Our numerical results suggest that our approach extrapolates well outside the training data regime due to the precise incorporation of physics‐based knowledge.",1,hyperelastic models,polyconvex neural,constrained symbolic
NU,Bahador Bahmani,101566577,Most Cited,Automated homogenization-based fracture analysis: Effects of SVE size and boundary condition,2019.0,21,https://www.semanticscholar.org/paper/4461c5845bb46338742bc2dfeb3b867ba5b483d3,https://www.sciencedirect.com/science/article/am/pii/S0045782518305644,ABSTRACT_MISSING_FALLBACK_TO_TITLE,Automated homogenization-based fracture analysis: Effects of SVE size and boundary condition ABSTRACT_MISSING_FALLBACK_TO_TITLE,0,fracture analysis,automated homogenization,condition abstract_missing_fallback_to_title
