professor_name,institution,n_papers,top_factories,top_keywords,top_papers,prof_text
Bahador Bahmani,NU,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['data driven', 'learning gan', 'solids abstract_missing_fallback_to_title', 'interpretable elastoplasticity', 'hyperelastic models', 'mechanics abstract_missing_fallback_to_title', 'laws solids', 'material models', 'journal mechanics', 'regressions abstract_missing_fallback_to_title']","['A Review on Data-Driven Constitutive Laws for Solids', 'Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning', 'Voronoi tessellation based statistical volume element characterization for use in fracture modeling']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: data driven, learning gan, solids abstract_missing_fallback_to_title, interpretable elastoplasticity, hyperelastic models, mechanics abstract_missing_fallback_to_title. Representative papers: A Review on Data-Driven Constitutive Laws for Solids."
Brenna Argall,NU,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary']","['gaze interface', 'arm teleoperation', 'abstract_missing_fallback_to_title', 'motor impairments', 'systems abstract_missing_fallback_to_title', 'auditory visual', 'multisensory cortex', 'tactile human', 'brain imaging', 'averaging cortical']","['Robotics and autonomous systems', 'Integration of Auditory and Visual Information about Objects in Superior Temporal Sulcus', 'Unraveling multisensory integration: patchy organization within human STS multisensory cortex']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Materials & Solid Mechanics. Key topics: gaze interface, arm teleoperation, abstract_missing_fallback_to_title, motor impairments, systems abstract_missing_fallback_to_title, auditory visual. Representative papers: Robotics and autonomous systems."
Cheng Sun,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices']","['supercapacitor electrodes', 'mxene transparent', 'hydrogen evolution', 'abstract_missing_fallback_to_title', 'performance inkjet', 'micro stereolithography', 'sputtered zno', 'mg3sbbi thermoelectrics', 'promising electrocatalyst', 'carbon nanofibers']","['Micro-stereolithography of polymeric and ceramic microstructures', 'Optical and electrical properties of direct-current magnetron sputtered ZnO:Al films', 'Extraordinary n‐Type Mg3SbBi Thermoelectrics Enabled by Yttrium Doping']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Biomedical & Biomechanical Engineering. Key topics: supercapacitor electrodes, mxene transparent, hydrogen evolution, abstract_missing_fallback_to_title, performance inkjet, micro stereolithography. Representative papers: Micro-stereolithography of polymeric and ceramic microstructures."
Elizabeth M Gerber,NU,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics']","['computers human', 'aims guide', 'design based', 'integration hint', 'projects crowdfunding', 'community crowdfunding', 'crowdsource funding', 'prototyping abstract_missing_fallback_to_title', 'design research', 'applications abstract_missing_fallback_to_title']","['Crowdfunding : Why People Are Motivated to Post and Fund Projects on Crowdfunding Platforms', 'Understanding the role of community in crowdfunding work', 'Crowdfunding support tools: predicting success & failure']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Systems, Education & Interdisciplinary. Key topics: computers human, aims guide, design based, integration hint, projects crowdfunding, community crowdfunding. Representative papers: Crowdfunding : Why People Are Motivated to Post and Fund Projects on Crowdfunding Platforms."
Gianluca Cusatis,NU,20,"['Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering']","['concrete abstract_missing_fallback_to_title', 'particle model', 'lattice discrete', 'concrete', 'shear lattice', 'model concrete', 'ldpm failure', 'behavior abstract_missing_fallback_to_title', 'fracture propagation', 'hydrated cement']","['Lattice Discrete Particle Model (LDPM) for failure behavior of concrete. I: Theory', 'Lattice Discrete Particle Model (LDPM) for failure behavior of concrete. II: Calibration and validation', 'Confinement-Shear Lattice Model for Concrete Damage in Tension and Compression: I. Theory']","Research areas: Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena, Systems, Education & Interdisciplinary. Key topics: concrete abstract_missing_fallback_to_title, particle model, lattice discrete, concrete, shear lattice, model concrete. Representative papers: Lattice Discrete Particle Model (LDPM) for failure behavior of concrete. I: Theory."
Greg Wagner,NU,20,"['Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['additive manufacturing', 'materials abstract_missing_fallback_to_title', 'convolution hierarchical', 'decomposition abstract_missing_fallback_to_title', 'carbon nanotubes', 'continuum simulations', 'electron beam', 'alloy evaluated', 'nanotubes abstract_missing_fallback_to_title', 'crystal nickel']","['Mechanics of carbon nanotubes', 'Coupling of atomistic and continuum simulations using a bridging scale decomposition', 'Multi-physics modeling of single/multiple-track defect mechanisms in electron beam selective melting']","Research areas: Materials & Solid Mechanics, Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: additive manufacturing, materials abstract_missing_fallback_to_title, convolution hierarchical, decomposition abstract_missing_fallback_to_title, carbon nanotubes, continuum simulations. Representative papers: Mechanics of carbon nanotubes."
Horacio Espinosa,NU,20,"['Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering']","['materials abstract_missing_fallback_to_title', 'carbon nanotubes', 'mother pearl', 'nacre bone', 'pearl abstract_missing_fallback_to_title', 'nanowires diameters', 'nanoelectromechanical contact', 'polycrystalline brittle', 'polycrystalline fcc', 'toughening abalone']","['Measurements of near-ultimate strength for multiwalled carbon nanotubes and irradiation-induced crosslinking improvements.', 'On the mechanics of mother-of-pearl: a key feature in the material hierarchical structure', 'Merger of structure and material in nacre and bone - Perspectives on de novo biomimetic materials']","Research areas: Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena, Systems, Education & Interdisciplinary. Key topics: materials abstract_missing_fallback_to_title, carbon nanotubes, mother pearl, nacre bone, pearl abstract_missing_fallback_to_title, nanowires diameters. Representative papers: Measurements of near-ultimate strength for multiwalled carbon nanotubes and irradiation-induced crosslinking improvements.."
J. Edward Colgate,NU,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['haptic displays', 'sampled data', 'haptic interfaces', 'dynamic interaction', 'feeling abstract_missing_fallback_to_title', 'realistic haptic', 'control swimming', 'kinematics cobots', 'cobot robotic', 'haptic interface']","['Factors affecting the Z-Width of a haptic display', 'Passivity of a class of sampled-data systems: application to haptic interfaces', 'Robust control of dynamically interacting systems']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Thermal-Fluid & Transport Phenomena. Key topics: haptic displays, sampled data, haptic interfaces, dynamic interaction, feeling abstract_missing_fallback_to_title, realistic haptic. Representative papers: Factors affecting the Z-Width of a haptic display."
Jennifer B. Dunn,NU,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering']","['life cycle', 'emissions shale', 'evs batteries', 'battery production', 'changes soil', 'automotive lithium', 'emissions corn', 'pyrolysis biomass', 'biofuels', 'ethanol production']","['Life-cycle greenhouse gas emissions of shale gas, natural gas, coal, and petroleum.', ""The significance of Li-ion batteries in electric vehicle life-cycle energy and emissions and recycling's role in its reduction"", 'Impact of recycling on cradle-to-gate energy consumption and greenhouse gas emissions of automotive lithium-ion batteries.']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics. Key topics: life cycle, emissions shale, evs batteries, battery production, changes soil, automotive lithium. Representative papers: Life-cycle greenhouse gas emissions of shale gas, natural gas, coal, and petroleum.."
Jian Cao,NU,20,"['Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems']","['matrix metalloproteinase', 'matrix metalloproteinases', 'colorectal cancer', 'metalloproteinase inhibitors', 'inhibitor ezetimibe', 'metalloproteinase timp', 'claudin deficient', 'emmprin mediated', 'resistance prostate', 'novel lncrna']","['A matrix metalloproteinase expressed on the surface of invasive tumour cells', 'Critical appraisal of the use of matrix metalloproteinase inhibitors in cancer treatment', 'Targeting matrix metalloproteinases in cancer: Bringing new life to old ideas']","Research areas: Biomedical & Biomechanical Engineering, Systems, Education & Interdisciplinary, Robotics & Intelligent Systems. Key topics: matrix metalloproteinase, matrix metalloproteinases, colorectal cancer, metalloproteinase inhibitors, inhibitor ezetimibe, metalloproteinase timp. Representative papers: A matrix metalloproteinase expressed on the surface of invasive tumour cells."
